,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
173,hmd,1,-0.8930034637451172,0.8603485822677612,0.7322881817817688,-178.44032362860221,-165.63043989290952,-168.00591007233723
174,hmd,1,-0.8930091857910156,0.8603558540344238,0.7322766780853271,-178.44007753064108,-165.6293362222676,-168.00538279400658
175,hmd,1,-0.8930163383483887,0.8603637218475342,0.7322644591331482,-178.44046754185462,-165.62926416086057,-168.0056368072496
176,hmd,1,-0.8930239677429199,0.8603707551956177,0.732252299785614,-178.44072011700098,-165.62961054683944,-168.00529490229658
177,hmd,1,-0.8930456638336182,0.8604106903076172,0.7321704626083374,-178.44111281008878,-165.62958243755043,-168.003735485085
178,hmd,1,-0.8929843902587891,0.8604106903076172,0.7322458624839783,-178.44344776915395,-165.6285445601557,-168.0062954050111
179,hmd,1,-0.8929886817932129,0.8604189157485962,0.7322365641593933,-178.44340795140738,-165.62869703849077,-168.0065335535019
180,hmd,1,-0.8929924964904785,0.8604259490966797,0.7322273850440979,-178.44298988323078,-165.6281277472976,-168.00570626122493
181,hmd,1,-0.8929977416992188,0.8604360818862915,0.7322162985801697,-178.4423751829348,-165.62827513790785,-168.00598035954928
182,hmd,1,-0.8930025100708008,0.8604452610015869,0.732206404209137,-178.4426428116045,-165.62908386111502,-168.0066626444378
183,hmd,1,-0.8930792808532715,0.8605208396911621,0.732086718082428,-178.44183989386377,-165.63042191653906,-168.0058873139653
184,hmd,1,-0.8930816650390625,0.8605297803878784,0.7320757508277893,-178.44188813048802,-165.62999602328665,-168.00590572462474
185,hmd,1,-0.8930919170379639,0.8604590892791748,0.7320348024368286,-178.43622106780097,-165.62961485376343,-168.00011492024706
186,hmd,1,-0.8930959701538086,0.8604674339294434,0.7320219874382019,-178.43597061651613,-165.62955764341402,-168.00043970828474
187,hmd,1,-0.8931005001068115,0.8604769706726074,0.7320070266723633,-178.43587034056736,-165.6288641043101,-168.0003236636664
188,hmd,1,-0.8931043148040771,0.8604830503463745,0.7319958209991455,-178.4361743553969,-165.6288807129955,-167.99992158803337
189,hmd,1,-0.8931615352630615,0.8605407476425171,0.7319014668464661,-178.43565364183166,-165.63039197582233,-167.9998521262202
190,hmd,1,-0.8931653499603271,0.8605490922927856,0.7318871021270752,-178.436413382821,-165.62998279250343,-167.99973867065034
191,hmd,1,-0.8930063247680664,0.8604915142059326,0.7320688962936401,-178.43895054392587,-165.62964260806814,-168.00115359760125
192,hmd,1,-0.8930096626281738,0.8605020046234131,0.7320576906204224,-178.4382731426395,-165.63004521301568,-168.0013833882758
193,hmd,1,-0.8930141925811768,0.8605148792266846,0.7320449352264404,-178.43793694075075,-165.6303053087591,-168.00197210316387
194,hmd,1,-0.8930196762084961,0.8605247735977173,0.7320340871810913,-178.43818529476397,-165.6312226009089,-168.0017558995746
195,hmd,1,-0.8932390213012695,0.8606007099151611,0.7320243716239929,-178.43328517007654,-165.63384683466327,-168.00619425146547
196,hmd,1,-0.8932485580444336,0.860610842704773,0.7320157885551453,-178.43356119359964,-165.63443267479624,-168.00567903226883
197,hmd,1,-0.893193244934082,0.8605762720108032,0.7320799231529236,-178.43343038041866,-165.63343256349017,-168.00534253653805
198,hmd,1,-0.8932027816772461,0.860588550567627,0.7320713400840759,-178.4322514712628,-165.63348210389452,-168.00468930604703
199,hmd,1,-0.8932116031646729,0.8606002330780029,0.7320629358291626,-178.43244694776718,-165.63244558810567,-168.00413047687084
200,hmd,1,-0.8932192325592041,0.8606127500534058,0.7320539951324463,-178.43202725001953,-165.6320726441236,-168.0039747886432
